,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
2292,Frank Oz,Ewen Bremner,Comedy,Peter Dinklage,Death at a Funeral,Kris Marshall,Frank Oz Ewen Bremner Comedy Peter Dinklage Kris Marshall
2293,James Wan,Kelly Preston,ActionCrimeThriller,Aisha Tyler,Death Sentence,Edi Gathegi,James Wan Kelly Preston ActionCrimeThriller Aisha Tyler Edi Gathegi
2294,Kirk Jones,James Frain,AdventureDrama,Robert De Niro,Everybody's Fine,Brendan Sexton III,Kirk Jones James Frain AdventureDrama Robert De Niro Brendan Sexton III
2295,Bob Clark,Vanessa Angel,ComedyFamilySci-Fi,Scott Baio,Superbabies: Baby Geniuses 2,Peter Wingfield,Bob Clark Vanessa Angel ComedyFamilySci-Fi Scott Baio Peter Wingfield
2296,Les Mayfield,Susie Essman,ActionComedyCrime,Miguel Ferrer,The Man,Gigi Rice,Les Mayfield Susie Essman ActionComedyCrime Miguel Ferrer Gigi Rice
2297,Les Mayfield,Will Patton,ActionComedyCrime,Callum Rennie,Code Name: The Cleaner,Cedric the Entertainer,Les Mayfield Will Patton ActionComedyCrime Callum Rennie Cedric the Entertainer
2298,Michael Lembeck,Nia Vardalos,ComedyCrimeMusic,Debbie Reynolds,Connie and Carla,Dash Mihok,Michael Lembeck Nia Vardalos ComedyCrimeMusic Debbie Reynolds Dash Mihok
2299,Bob Fosse,Ricardo Montalban,ComedyDramaMusicMusicalRomance,Sammy Davis Jr.,Sweet Charity,Ben Vereen,Bob Fosse Ricardo Montalban ComedyDramaMusicMusicalRomance Sammy Davis Jr. Ben Vereen
2300,Paul Thomas Anderson,Katherine Waterston,ComedyCrimeDramaMysteryRomance,Martin Dew,Inherent Vice,Serena Scott Thomas,Paul Thomas Anderson Katherine Waterston ComedyCrimeDramaMysteryRomance Martin Dew Serena Scott Thomas
2301,Dave Borthwick,Kylie Minogue,AdventureAnimationComedyFamilyFantasy,Jimmy Fallon,Doogal,Jon Stewart,Dave Borthwick Kylie Minogue AdventureAnimationComedyFamilyFantasy Jimmy Fallon Jon Stewart
2302,Benson Lee,Caity Lotz,DramaMusic,Chris Brown,Battle of the Year,Laz Alonso,Benson Lee Caity Lotz DramaMusic Chris Brown Laz Alonso
2304,David Zucker,Geoffrey Arend,ComedyFantasy,Chriss Anglin,An American Carol,Gary Coleman,David Zucker Geoffrey Arend ComedyFantasy Chriss Anglin Gary Coleman
2305,Robert Rodriguez,Demián Bichir,ActionComedyCrimeThriller,Alexa PenaVega,Machete Kills,Marko Zaror,Robert Rodriguez Demián Bichir ActionComedyCrimeThriller Alexa PenaVega Marko Zaror
2306,Glen Morgan,Ty Olsson,DramaHorrorSci-FiThriller,Laura Harring,Willard,Jackie Burroughs,Glen Morgan Ty Olsson DramaHorrorSci-FiThriller Laura Harring Jackie Burroughs
2307,Fred Wolf,Ashley Scott,AdventureComedy,Kevin Alejandro,Strange Wilderness,Jeff Garlin,Fred Wolf Ashley Scott AdventureComedy Kevin Alejandro Jeff Garlin
2308,Mike Leigh,Dexter Fletcher,BiographyComedyDramaHistoryMusicMusical,Jim Broadbent,Topsy-Turvy,Lesley Manville,Mike Leigh Dexter Fletcher BiographyComedyDramaHistoryMusicMusical Jim Broadbent Lesley Manville
2309,Alejandro Monteverde,Cary-Hiroyuki Tagawa,DramaWar,Tom Wilkinson,Little Boy,Michael Rapaport,Alejandro Monteverde Cary-Hiroyuki Tagawa DramaWar Tom Wilkinson Michael Rapaport
2310,David Cronenberg,Viggo Mortensen,BiographyDramaThriller,Michael Fassbender,A Dangerous Method,Sarah Gadon,David Cronenberg Viggo Mortensen BiographyDramaThriller Michael Fassbender Sarah Gadon
2311,Richard Linklater,Keanu Reeves,AnimationDramaMysterySci-FiThriller,Robert Downey Jr.,A Scanner Darkly,Rory Cochrane,Richard Linklater Keanu Reeves AnimationDramaMysterySci-FiThriller Robert Downey Jr. Rory Cochrane
2312,Michael Apted,Abigail Spencer,BiographyDramaSport,Gerard Butler,Chasing Mavericks,Leven Rambin,Michael Apted Abigail Spencer BiographyDramaSport Gerard Butler Leven Rambin
2313,Uwe Boll,Darren Shahlavi,HorrorSci-Fi,Catherine Lough Haggquist,Alone in the Dark,Karin Konoval,Uwe Boll Darren Shahlavi HorrorSci-Fi Catherine Lough Haggquist Karin Konoval
2314,Todd Graff,Charlie Saxton,ComedyDramaFamilyMusicRomance,Scott Porter,Bandslam,Ryan Donowho,Todd Graff Charlie Saxton ComedyDramaFamilyMusicRomance Scott Porter Ryan Donowho
2315,Jonathan Glazer,Anne Heche,DramaMysteryRomanceThriller,Cameron Bright,Birth,Danny Huston,Jonathan Glazer Anne Heche DramaMysteryRomanceThriller Cameron Bright Danny Huston
2316,J.C. Chandor,Ashley Williams,ActionCrimeDramaThriller,David Oyelowo,A Most Violent Year,Albert Brooks,J.C. Chandor Ashley Williams ActionCrimeDramaThriller David Oyelowo Albert Brooks
2317,Paul Gross,Michael Greyeyes,DramaHistoryRomanceWar,Landon Liboiron,Passchendaele,Caroline Dhavernas,Paul Gross Michael Greyeyes DramaHistoryRomanceWar Landon Liboiron Caroline Dhavernas
2318,Marc Abraham,Bill Lake,BiographyDrama,Dylan Authors,Flash of Genius,Victoria Learn,Marc Abraham Bill Lake BiographyDrama Dylan Authors Victoria Learn
2319,Todd Haynes,Heath Ledger,BiographyDramaMusic,Christian Bale,I'm Not There.,Tyrone Benskin,Todd Haynes Heath Ledger BiographyDramaMusic Christian Bale Tyrone Benskin
2320,Mabrouk El Mechri,Bruce Willis,ActionThriller,Henry Cavill,The Cold Light of Day,Óscar Jaenada,Mabrouk El Mechri Bruce Willis ActionThriller Henry Cavill Óscar Jaenada
2321,Rian Johnson,Maximilian Schell,AdventureComedyDramaRomance,Zachary Gordon,The Brothers Bloom,Nora Zehetner,Rian Johnson Maximilian Schell AdventureComedyDramaRomance Zachary Gordon Nora Zehetner
2322,Charlie Kaufman,Jennifer Jason Leigh,ComedyDramaRomance,Philip Seymour Hoffman,"Synecdoche, New York",Samantha Morton,Charlie Kaufman Jennifer Jason Leigh ComedyDramaRomance Philip Seymour Hoffman Samantha Morton
2323,Hayao Miyazaki,Jada Pinkett Smith,AdventureAnimationFantasy,Minnie Driver,Princess Mononoke,Billy Crudup,Hayao Miyazaki Jada Pinkett Smith AdventureAnimationFantasy Minnie Driver Billy Crudup
2324,Jean-Paul Rappeneau,Peter Coyote,ComedyDramaMysteryRomanceThrillerWar,Isabelle Adjani,Bon voyage,Virginie Ledoyen,Jean-Paul Rappeneau Peter Coyote ComedyDramaMysteryRomanceThrillerWar Isabelle Adjani Virginie Ledoyen
2325,Nancy Walker,Randy Jones,BiographyComedyMusical,Steve Guttenberg,Can't Stop the Music,Caitlyn Jenner,Nancy Walker Randy Jones BiographyComedyMusical Steve Guttenberg Caitlyn Jenner
2326,John Hillcoat,Noah Taylor,CrimeDramaWestern,Ray Winstone,The Proposition,Danny Huston,John Hillcoat Noah Taylor CrimeDramaWestern Ray Winstone Danny Huston
2327,Angelo Pizzo,Finn Wittrock,BiographyDramaSport,Donny Boaz,Courage,Brent Anderson,Angelo Pizzo Finn Wittrock BiographyDramaSport Donny Boaz Brent Anderson
2328,Richard Benjamin,Jane Krakowski,ComedyMusic,Damon Wayans,Marci X,Paula Garcés,Richard Benjamin Jane Krakowski ComedyMusic Damon Wayans Paula Garcés
2329,Kurt Wimmer,Emily Watson,ActionDramaSci-FiThriller,Christian Bale,Equilibrium,Sean Pertwee,Kurt Wimmer Emily Watson ActionDramaSci-FiThriller Christian Bale Sean Pertwee
2330,Roger Spottiswoode,Guang Li,DramaWar,Radha Mitchell,The Children of Huang Shi,Matthew Walker,Roger Spottiswoode Guang Li DramaWar Radha Mitchell Matthew Walker
2331,James Gray,Ellen Burstyn,CrimeDramaRomanceThriller,Charlize Theron,The Yards,Faye Dunaway,James Gray Ellen Burstyn CrimeDramaRomanceThriller Charlize Theron Faye Dunaway
2332,Matthew Diamond,Garrett Clayton,AdventureFamilyFantasyMusical,Chazz Palminteri,The Oogieloves in the Big Balloon Adventure,Toni Braxton,Matthew Diamond Garrett Clayton AdventureFamilyFantasyMusical Chazz Palminteri Toni Braxton
2333,Angelina Jolie Pitt,Angelina Jolie Pitt,DramaRomance,Brad Pitt,By the Sea,Melvil Poupaud,Angelina Jolie Pitt Angelina Jolie Pitt DramaRomance Brad Pitt Melvil Poupaud
2334,Katsuhiro Ôtomo,Robin Atkin Downes,ActionAdventureAnimationFamilySci-FiThriller,William Hootkins,Steamboy,Rosalind Ayres,Katsuhiro Ôtomo Robin Atkin Downes ActionAdventureAnimationFamilySci-FiThriller William Hootkins Rosalind Ayres
2335,David Anspaugh,Costas Mandylor,DramaHistorySport,Gerard Butler,The Game of Their Lives,Jimmy Jean-Louis,David Anspaugh Costas Mandylor DramaHistorySport Gerard Butler Jimmy Jean-Louis
2336,Andrew Jarecki,Kirsten Dunst,CrimeDramaMysteryRomanceThriller,Ryan Gosling,All Good Things,Frank Langella,Andrew Jarecki Kirsten Dunst CrimeDramaMysteryRomanceThriller Ryan Gosling Frank Langella
2337,Kevin Reynolds,Jason Scott Lee,ActionAdventureDramaHistoryRomance,Esai Morales,Rapa Nui,Sandrine Holt,Kevin Reynolds Jason Scott Lee ActionAdventureDramaHistoryRomance Esai Morales Sandrine Holt
2338,Stephen Chow,Yuqi Zhang,ComedyFamilySci-Fi,Jiao Xu,CJ7,Chi Chung Lam,Stephen Chow Yuqi Zhang ComedyFamilySci-Fi Jiao Xu Chi Chung Lam
2339,Jean-Marie Poiré,Philippe Nahon,ComedyFamilyFantasySci-Fi,Christian Clavier,Les couloirs du temps: Les visiteurs II,Marie-Anne Chazel,Jean-Marie Poiré Philippe Nahon ComedyFamilyFantasySci-Fi Christian Clavier Marie-Anne Chazel
2340,Kevin Munroe,Laura Spencer,ActionComedyCrimeFantasyHorrorMysterySci-FiThriller,Marco St. John,Dylan Dog: Dead of Night,Anita Briem,Kevin Munroe Laura Spencer ActionComedyCrimeFantasyHorrorMysterySci-FiThriller Marco St. John Anita Briem
2341,Daniel Algrant,Richard Schiff,CrimeDramaMystery,Al Pacino,People I Know,Mark Webber,Daniel Algrant Richard Schiff CrimeDramaMystery Al Pacino Mark Webber
2343,Julie Taymor,Reeve Carney,ComedyDramaFantasyRomance,Djimon Hounsou,The Tempest,Tom Conti,Julie Taymor Reeve Carney ComedyDramaFantasyRomance Djimon Hounsou Tom Conti
2344,Alejandro Amenábar,Aaron Ashmore,CrimeDramaMysteryThriller,Emma Watson,Regression,Julian Richings,Alejandro Amenábar Aaron Ashmore CrimeDramaMysteryThriller Emma Watson Julian Richings
2345,Jane Clark,Traci Dinwiddie,RomanceShort,Necar Zadegan,The Touch,Elea Oberon,Jane Clark Traci Dinwiddie RomanceShort Necar Zadegan Elea Oberon
2346,Daniel Lee,Sammo Kam-Bo Hung,ActionDramaHistoryWar,Andy Lau,Three Kingdoms: Resurrection of the Dragon,Andy On,Daniel Lee Sammo Kam-Bo Hung ActionDramaHistoryWar Andy Lau Andy On
2347,Mike Barker,Nicholas Lea,CrimeDramaThriller,Gerard Butler,Shattered,Callum Rennie,Mike Barker Nicholas Lea CrimeDramaThriller Gerard Butler Callum Rennie
2348,Wayne Thornley,Phil LaMarr,AdventureAnimationComedyFamily,Leonard Nimoy,Zambezia,Noureen DeWulf,Wayne Thornley Phil LaMarr AdventureAnimationComedyFamily Leonard Nimoy Noureen DeWulf
2349,Gnana Rajasekaran,Michael Lieber,BiographyDramaHistory,Mani Bharathi,Ramanujan,Kevin McGowan,Gnana Rajasekaran Michael Lieber BiographyDramaHistory Mani Bharathi Kevin McGowan
2350,Tom Walsh,Maggie Wheeler,Animation,Joey D. Vieira,Dwegons and Leprechauns,Jacqueline Lovell,Tom Walsh Maggie Wheeler Animation Joey D. Vieira Jacqueline Lovell
2351,Jonathan Jakubowicz,Jurnee Smollett-Bell,ActionBiographyDramaSport,Robert De Niro,Hands of Stone,Edgar Ramírez,Jonathan Jakubowicz Jurnee Smollett-Bell ActionBiographyDramaSport Robert De Niro Edgar Ramírez
2352,James McTeigue,Roger Rees,ActionCrimeThriller,Milla Jovovich,Survivor,Robert Forster,James McTeigue Roger Rees ActionCrimeThriller Milla Jovovich Robert Forster
2353,Scott Walker,Radha Mitchell,CrimeDramaMysteryThriller,Nicolas Cage,The Frozen Ground,Jodi Lyn O'Keefe,Scott Walker Radha Mitchell CrimeDramaMysteryThriller Nicolas Cage Jodi Lyn O'Keefe
2354,John Curran,Sally Hawkins,DramaRomance,Toby Jones,The Painted Veil,Alan David,John Curran Sally Hawkins DramaRomance Toby Jones Alan David
2355,Uli Edel,Alexandra Maria Lara,ActionBiographyCrimeDrama,Moritz Bleibtreu,The Baader Meinhof Complex,Martina Gedeck,Uli Edel Alexandra Maria Lara ActionBiographyCrimeDrama Moritz Bleibtreu Martina Gedeck
2356,Kevin Costner,Michael Spears,AdventureDramaWestern,Mary McDonnell,Dances with Wolves,Maury Chaykin,Kevin Costner Michael Spears AdventureDramaWestern Mary McDonnell Maury Chaykin
2357,Jake Kasdan,John Michael Higgins,Comedy,Justin Timberlake,Bad Teacher,Phyllis Smith,Jake Kasdan John Michael Higgins Comedy Justin Timberlake Phyllis Smith
2358,Harold Becker,Michael O'Neill,CrimeDramaMysteryThriller,Al Pacino,Sea of Love,Ellen Barkin,Harold Becker Michael O'Neill CrimeDramaMysteryThriller Al Pacino Ellen Barkin
2359,Mark Rosman,Lin Shaye,ComedyFamilyRomance,Dan Byrd,A Cinderella Story,Julie Gonzalo,Mark Rosman Lin Shaye ComedyFamilyRomance Dan Byrd Julie Gonzalo
2360,Wes Craven,W. Earl Brown,HorrorMystery,David Arquette,Scream,Roger Jackson,Wes Craven W. Earl Brown HorrorMystery David Arquette Roger Jackson
2361,Steve Beck,Embeth Davidtz,Horror,Shannon Elizabeth,Thir13en Ghosts,F. Murray Abraham,Steve Beck Embeth Davidtz Horror Shannon Elizabeth F. Murray Abraham
2362,Stanley Kubrick,Shelley Duvall,DramaHorror,Scatman Crothers,The Shining,Joe Turkel,Stanley Kubrick Shelley Duvall DramaHorror Scatman Crothers Joe Turkel
2363,Robert Zemeckis,Thomas F. Wilson,AdventureComedySci-Fi,Lea Thompson,Back to the Future,J.J. Cohen,Robert Zemeckis Thomas F. Wilson AdventureComedySci-Fi Lea Thompson J.J. Cohen
2364,William Malone,Peter Gallagher,HorrorMysteryThriller,Jeffrey Combs,House on Haunted Hill,Bridgette Wilson-Sampras,William Malone Peter Gallagher HorrorMysteryThriller Jeffrey Combs Bridgette Wilson-Sampras
2365,Tyler Perry,Mary J. Blige,ComedyDrama,Eric Mendenhall,I Can Do Bad All by Myself,Hope Olaide Wilson,Tyler Perry Mary J. Blige ComedyDrama Eric Mendenhall Hope Olaide Wilson
2366,Rob Hawk,Erin O'Brien,ActionDrama,Kari J. Kramer,Fight Valley,Cabrina Collesides,Rob Hawk Erin O'Brien ActionDrama Kari J. Kramer Cabrina Collesides
2367,Josh Gordon,Scott Elrod,ComedyDramaRomance,Caroline Dhavernas,The Switch,Kelli Barrett,Josh Gordon Scott Elrod ComedyDramaRomance Caroline Dhavernas Kelli Barrett
2368,Shawn Levy,David Agranov,ComedyRomance,Taran Killam,Just Married,David Moscow,Shawn Levy David Agranov ComedyRomance Taran Killam David Moscow
2369,Lee Tamahori,Dominic Cooper,BiographyDramaThriller,Mem Ferda,The Devil's Double,Ludivine Sagnier,Lee Tamahori Dominic Cooper BiographyDramaThriller Mem Ferda Ludivine Sagnier
2371,Britt Allcroft,Colm Feore,AdventureComedyDramaFamilyFantasy,Mara Wilson,Thomas and the Magic Railroad,Peter Fonda,Britt Allcroft Colm Feore AdventureComedyDramaFamilyFantasy Mara Wilson Peter Fonda
2372,Breck Eisner,Glenn Morshower,HorrorThriller,Radha Mitchell,The Crazies,John Aylward,Breck Eisner Glenn Morshower HorrorThriller Radha Mitchell John Aylward
2373,Hayao Miyazaki,Ryûnosuke Kamiki,AdventureAnimationFamilyFantasy,Bunta Sugawara,Spirited Away,Miyu Irino,Hayao Miyazaki Ryûnosuke Kamiki AdventureAnimationFamilyFantasy Bunta Sugawara Miyu Irino
2374,Alan Yuen,Michael Wong,ActionCrimeThriller,Andy Lau,Firestorm,Terence Yin,Alan Yuen Michael Wong ActionCrimeThriller Andy Lau Terence Yin
2375,Roger Donaldson,Anthony Hopkins,ActionAdventureDramaHistoryRomance,Liam Neeson,The Bounty,Laurence Olivier,Roger Donaldson Anthony Hopkins ActionAdventureDramaHistoryRomance Liam Neeson Laurence Olivier
2376,Brian Percival,Sophie Nélisse,DramaWar,Emily Watson,The Book Thief,Roger Allam,Brian Percival Sophie Nélisse DramaWar Emily Watson Roger Allam
2377,Sean Anders,Michael Cudlitz,AdventureComedyRomance,Katrina Bowden,Sex Drive,Alice Greczyn,Sean Anders Michael Cudlitz AdventureComedyRomance Katrina Bowden Alice Greczyn
2378,Anand Tucker,Kaitlin Olson,ComedyRomance,Adam Scott,Leap Year,Dominique McElligott,Anand Tucker Kaitlin Olson ComedyRomance Adam Scott Dominique McElligott
2379,Anthony Mann,Mel Ferrer,DramaHistoryWar,James Mason,The Fall of the Roman Empire,Stephen Boyd,Anthony Mann Mel Ferrer DramaHistoryWar James Mason Stephen Boyd
2380,Michael Dowse,Michael Biehn,ComedyDramaRomance,Topher Grace,Take Me Home Tonight,Dan Fogler,Michael Dowse Michael Biehn ComedyDramaRomance Topher Grace Dan Fogler
2381,Daniel Barnz,Rosie Perez,Drama,Holly Hunter,Won't Back Down,Dante Brown,Daniel Barnz Rosie Perez Drama Holly Hunter Dante Brown
2382,Emile Ardolino,Kyra Nichols,FamilyFantasyMusic,Darci Kistler,The Nutcracker,Margaret Tracey,Emile Ardolino Kyra Nichols FamilyFantasyMusic Darci Kistler Margaret Tracey
2383,Robert Altman,Jennifer Jason Leigh,CrimeDramaMusicThriller,Steve Buscemi,Kansas City,Miranda Richardson,Robert Altman Jennifer Jason Leigh CrimeDramaMusicThriller Steve Buscemi Miranda Richardson
2384,James Schamus,Sarah Gadon,Drama,Logan Lerman,Indignation,Tracy Letts,James Schamus Sarah Gadon Drama Logan Lerman Tracy Letts
2385,Andrew Douglas,Chloë Grace Moretz,DramaHorrorMysteryThriller,Jimmy Bennett,The Amityville Horror,Ryan Reynolds,Andrew Douglas Chloë Grace Moretz DramaHorrorMysteryThriller Jimmy Bennett Ryan Reynolds
2386,Spike Jonze,Meryl Streep,ComedyDrama,Nicolas Cage,Adaptation.,Roger Willie,Spike Jonze Meryl Streep ComedyDrama Nicolas Cage Roger Willie
2387,George A. Romero,Shawn Roberts,Horror,Tony Nappo,Land of the Dead,Pedro Miguel Arce,George A. Romero Shawn Roberts Horror Tony Nappo Pedro Miguel Arce
2388,Danny Pang,Angelica Lee,Action,Louis Koo,Out of Inferno,Ching Wan Lau,Danny Pang Angelica Lee Action Louis Koo Ching Wan Lau
2389,Terry Gilliam,Michael Jeter,AdventureComedyDrama,Johnny Depp,Fear and Loathing in Las Vegas,Ellen Barkin,Terry Gilliam Michael Jeter AdventureComedyDrama Johnny Depp Ellen Barkin
2390,Ricky Gervais,Tina Fey,ComedyFantasyRomance,Jennifer Garner,The Invention of Lying,Martin Starr,Ricky Gervais Tina Fey ComedyFantasyRomance Jennifer Garner Martin Starr
2391,Nicholas Stoller,Carla Gallo,Comedy,Craig Roberts,Neighbors,Ike Barinholtz,Nicholas Stoller Carla Gallo Comedy Craig Roberts Ike Barinholtz
2392,Chuck Russell,Amy Yasbeck,ActionComedyCrimeFantasy,Peter Greene,The Mask,Reg E. Cathey,Chuck Russell Amy Yasbeck ActionComedyCrimeFantasy Peter Greene Reg E. Cathey
2393,Penny Marshall,Jon Lovitz,ComedyDramaFamilyFantasyRomance,Tom Hanks,Big,John Heard,Penny Marshall Jon Lovitz ComedyDramaFamilyFantasyRomance Tom Hanks John Heard
2394,Larry Charles,Ken Davitian,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Chester,Larry Charles Ken Davitian Comedy Luenell Chester
2395,Robert Luketic,Raquel Welch,ComedyRomance,Linda Cardellini,Legally Blonde,Alanna Ubach,Robert Luketic Raquel Welch ComedyRomance Linda Cardellini Alanna Ubach
2396,Leonard Nimoy,Nichelle Nichols,ActionAdventureSci-Fi,Leonard Nimoy,Star Trek III: The Search for Spock,Walter Koenig,Leonard Nimoy Nichelle Nichols ActionAdventureSci-Fi Leonard Nimoy Walter Koenig
2397,Scott Derrickson,Colm Feore,DramaHorrorThriller,Tom Wilkinson,The Exorcism of Emily Rose,JR Bourne,Scott Derrickson Colm Feore DramaHorrorThriller Tom Wilkinson JR Bourne
2398,Mike Mitchell,Eddie Griffin,ComedyRomance,Amy Poehler,Deuce Bigalow: Male Gigolo,Bree Turner,Mike Mitchell Eddie Griffin ComedyRomance Amy Poehler Bree Turner
2399,Vic Armstrong,Lea Thompson,ActionDramaFantasyMysteryThriller,Nicolas Cage,Left Behind,Quinton Aaron,Vic Armstrong Lea Thompson ActionDramaFantasyMysteryThriller Nicolas Cage Quinton Aaron
2400,Thomas Bezucha,Paul Schneider,ComedyDramaRomance,Craig T. Nelson,The Family Stone,Tyrone Giordano,Thomas Bezucha Paul Schneider ComedyDramaRomance Craig T. Nelson Tyrone Giordano
2401,Kevin Rodney Sullivan,Sean Patrick Thomas,ComedyDrama,Harry Lennix,Barbershop 2: Back in Business,Kenan Thompson,Kevin Rodney Sullivan Sean Patrick Thomas ComedyDrama Harry Lennix Kenan Thompson
2402,Terry Zwigoff,Tony Cox,ComedyCrimeDrama,Bernie Mac,Bad Santa,Alex Borstein,Terry Zwigoff Tony Cox ComedyCrimeDrama Bernie Mac Alex Borstein
2403,Jay Roach,Charles Napier,ComedyCrime,Will Ferrell,Austin Powers: International Man of Mystery,Robert Wagner,Jay Roach Charles Napier ComedyCrime Will Ferrell Robert Wagner
2404,Kirk Jones,Louis Mandylor,ComedyFamilyRomance,Nia Vardalos,My Big Fat Greek Wedding 2,Joey Fatone,Kirk Jones Louis Mandylor ComedyFamilyRomance Nia Vardalos Joey Fatone
2405,David Bowers,Rachael Harris,ComedyFamily,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules,Fran Kranz,David Bowers Rachael Harris ComedyFamily Zachary Gordon Fran Kranz
2406,John McTiernan,Bill Duke,ActionHorrorSci-Fi,Shane Black,Predator,Carl Weathers,John McTiernan Bill Duke ActionHorrorSci-Fi Shane Black Carl Weathers
2407,Milos Forman,F. Murray Abraham,BiographyDramaHistoryMusic,Jeffrey Jones,Amadeus,Tom Hulce,Milos Forman F. Murray Abraham BiographyDramaHistoryMusic Jeffrey Jones Tom Hulce
2408,Nelson McCormick,Scott Porter,HorrorMystery,Ming-Na Wen,Prom Night,Collins Pennie,Nelson McCormick Scott Porter HorrorMystery Ming-Na Wen Collins Pennie
2409,Mark Waters,Amy Poehler,Comedy,Tina Fey,Mean Girls,Neil Flynn,Mark Waters Amy Poehler Comedy Tina Fey Neil Flynn
2410,Audrey Wells,Lindsay Duncan,ComedyDramaRomance,Raoul Bova,Under the Tuscan Sun,Mario Monicelli,Audrey Wells Lindsay Duncan ComedyDramaRomance Raoul Bova Mario Monicelli
2411,Robert Altman,Bob Balaban,DramaMystery,Kristin Scott Thomas,Gosford Park,Tom Hollander,Robert Altman Bob Balaban DramaMystery Kristin Scott Thomas Tom Hollander
2413,Francis Ford Coppola,Kathleen Turner,ComedyDramaFantasyRomance,Nicolas Cage,Peggy Sue Got Married,Joan Allen,Francis Ford Coppola Kathleen Turner ComedyDramaFantasyRomance Nicolas Cage Joan Allen
2414,Alejandro G. Iñárritu,Naomi Watts,ComedyDramaRomance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance),Merritt Wever,Alejandro G. Iñárritu Naomi Watts ComedyDramaRomance Emma Stone Merritt Wever
2415,Woody Allen,Charlie Tahan,Drama,Sally Hawkins,Blue Jasmine,Andrew Dice Clay,Woody Allen Charlie Tahan Drama Sally Hawkins Andrew Dice Clay
2416,Paul Greengrass,David Alan Basche,DramaHistoryThriller,Christian Clemenson,United 93,Susan Blommaert,Paul Greengrass David Alan Basche DramaHistoryThriller Christian Clemenson Susan Blommaert
2417,Bille Woodruff,Mekhi Phifer,DramaMusicRomance,Christian Monzon,Honey,Romeo Miller,Bille Woodruff Mekhi Phifer DramaMusicRomance Christian Monzon Romeo Miller
2418,Edward Zwick,Morgan Freeman,DramaHistoryWar,Denzel Washington,Glory,Matthew Broderick,Edward Zwick Morgan Freeman DramaHistoryWar Denzel Washington Matthew Broderick
2419,Rick Friedberg,Barry Bostwick,ActionComedy,Hulk Hogan,Spy Hard,Nicollette Sheridan,Rick Friedberg Barry Bostwick ActionComedy Hulk Hogan Nicollette Sheridan
2420,John Carpenter,Hal Holbrook,FantasyHorror,Jamie Lee Curtis,The Fog,Janet Leigh,John Carpenter Hal Holbrook FantasyHorror Jamie Lee Curtis Janet Leigh
2421,Sean McNamara,Chris Brochu,BiographyDramaFamilySport,Dennis Quaid,Soul Surfer,Craig T. Nelson,Sean McNamara Chris Brochu BiographyDramaFamilySport Dennis Quaid Craig T. Nelson
2422,Mike Nichols,Bob Balaban,ComedyDramaWar,Bob Newhart,Catch-22,Martin Balsam,Mike Nichols Bob Balaban ComedyDramaWar Bob Newhart Martin Balsam
2423,Jody Hill,Celia Weston,ComedyCrimeDrama,Collette Wolfe,Observe and Report,Dan Bakkedahl,Jody Hill Celia Weston ComedyCrimeDrama Collette Wolfe Dan Bakkedahl
2424,Richard Fleischer,Olivia d'Abo,ActionAdventureFantasy,Mako,Conan the Destroyer,Grace Jones,Richard Fleischer Olivia d'Abo ActionAdventureFantasy Mako Grace Jones
2425,Martin Scorsese,Cathy Moriarty,BiographyDramaSport,Robert De Niro,Raging Bull,Frank Vincent,Martin Scorsese Cathy Moriarty BiographyDramaSport Robert De Niro Frank Vincent
2426,Brandon Camp,Sasha Alexander,DramaRomance,Judy Greer,Love Happens,Frances Conroy,Brandon Camp Sasha Alexander DramaRomance Judy Greer Frances Conroy
2427,Barry Levinson,Roger Ashton-Griffiths,AdventureFantasyMysteryThriller,Nicholas Rowe,Young Sherlock Holmes,Freddie Jones,Barry Levinson Roger Ashton-Griffiths AdventureFantasyMysteryThriller Nicholas Rowe Freddie Jones
2428,Kevin Tancharoen,Kay Panabaker,ComedyDramaMusicalRomance,Kelsey Grammer,Fame,Megan Mullally,Kevin Tancharoen Kay Panabaker ComedyDramaMusicalRomance Kelsey Grammer Megan Mullally
2429,Danny Boyle,Treat Williams,AdventureBiographyDramaThriller,James Franco,127 Hours,Kate Burton,Danny Boyle Treat Williams AdventureBiographyDramaThriller James Franco Kate Burton
2430,Woody Allen,Jon Lovitz,ComedyCrime,Woody Allen,Small Time Crooks,Michael Rapaport,Woody Allen Jon Lovitz ComedyCrime Woody Allen Michael Rapaport
2431,Nicholas Hytner,Susan May Pratt,DramaMusicRomance,Amanda Schull,Center Stage,Ethan Stiefel,Nicholas Hytner Susan May Pratt DramaMusicRomance Amanda Schull Ethan Stiefel
2432,Jessie Nelson,Alex Borstein,Comedy,Olivia Wilde,Love the Coopers,Timothée Chalamet,Jessie Nelson Alex Borstein Comedy Olivia Wilde Timothée Chalamet
2433,Bart Freundlich,Corbin Bleu,ComedyCrime,Kristen Stewart,Catch That Kid,Kevin G. Schmidt,Bart Freundlich Corbin Bleu ComedyCrime Kristen Stewart Kevin G. Schmidt
2434,Irwin Winkler,Hayden Christensen,Drama,Ian Somerhalder,Life as a House,Kristin Scott Thomas,Irwin Winkler Hayden Christensen Drama Ian Somerhalder Kristin Scott Thomas
